development_run_count,repetition,training_rows,test_runs,test_rows,mae_ms,rmse_ms,r2,median_absolute_error_ms,p95_absolute_error_ms,p99_absolute_error_ms,selected_run_ids
5,11,7176,5,5996,151.45625266666246,382.2693705139615,-0.00953351448507811,37.34457778930664,689.7613983154297,1785.6548959732058,training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60
10,11,14084,5,5996,167.00678928398725,416.8544961273699,-0.2004683613899756,35.16838073730469,995.3158874511719,1837.2184448242224,training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60
15,11,21612,5,5996,156.32255094479945,394.43620161474877,-0.07481884971650765,35.57691192626953,697.8485412597656,1864.673082733159,training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s8.0-r2003-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60
5,12,7760,5,5996,125.89436991287991,346.82593266953506,0.16899265170848288,29.09864616394043,498.0266342163086,1721.8488906860368,training-s5.0-r2001-b1-m0.50-bd10-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60
10,12,13882,5,5996,145.00263871833636,376.5119216476202,0.020647125356703877,31.15335464477539,664.1591625213623,1771.5516366958623,training-s5.0-r2001-b1-m0.50-bd10-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60
15,12,21812,5,5996,144.43748294254124,363.63641561177957,0.08648333402330777,38.18434143066406,553.9911441802979,1744.5839651107794,training-s5.0-r2001-b1-m0.50-bd10-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s5.0-r2005-b1-m0.25-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s8.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60
5,13,6546,5,5996,148.3501877037257,378.7798406723549,0.008813330655615514,24.85349750518799,677.2514801025391,1766.9055088043217,training-s8.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60
10,13,13746,5,5996,146.7599652134714,384.98853025255244,-0.023946628724053065,32.595069885253906,719.6927881240845,1794.784975147248,training-s8.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60
15,13,21092,5,5996,149.7672793761901,389.1361166813683,-0.04612798401139839,36.336679458618164,666.9415588378906,1819.7794018745456,training-s8.0-r2005-b0-m1.0-bd5-d60|training-s3.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2005-b1-m0.50-bd10-d60|training-s5.0-r2004-b0-m1.0-bd5-d60|training-s5.0-r2001-b0-m1.0-bd5-d60|training-s3.0-r2002-b0-m1.0-bd5-d60|training-s5.0-r2004-b1-m0.25-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.50-bd10-d60|training-s5.0-r2003-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60|training-s3.0-r2001-b0-m1.0-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.50-bd10-d60
5,14,5958,5,5996,140.5849193127924,392.9568828923258,-0.06677182957491046,20.801630973815918,759.8362121582031,1833.313537406925,training-s5.0-r2001-b0-m1.0-bd5-d60|training-s8.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2005-b0-m1.0-bd5-d60|training-s5.0-r2001-b1-m0.25-bd5-d60|training-s5.0-r2002-b1-m0.25-bd5-d60
