development_run_count,evaluations,training_rows_mean,training_rows_median,training_rows_q1,training_rows_q3,training_rows_min,training_rows_max,mae_ms_mean,mae_ms_median,mae_ms_q1,mae_ms_q3,mae_ms_min,mae_ms_max,median_absolute_error_ms_mean,median_absolute_error_ms_median,median_absolute_error_ms_q1,median_absolute_error_ms_q3,median_absolute_error_ms_min,median_absolute_error_ms_max,rmse_ms_mean,rmse_ms_median,rmse_ms_q1,rmse_ms_q3,rmse_ms_min,rmse_ms_max,r2_mean,r2_median,r2_q1,r2_q3,r2_min,r2_max,p95_absolute_error_ms_mean,p95_absolute_error_ms_median,p95_absolute_error_ms_q1,p95_absolute_error_ms_q3,p95_absolute_error_ms_min,p95_absolute_error_ms_max,p99_absolute_error_ms_mean,p99_absolute_error_ms_median,p99_absolute_error_ms_q1,p99_absolute_error_ms_q3,p99_absolute_error_ms_min,p99_absolute_error_ms_max
5,20,6887.1,6687.0,6311.5,7433.0,5580.0,9234.0,180.50071121594652,160.22535958759062,148.33948401066345,176.9092656163843,121.99941205668026,346.3296207355353,30.719423973560332,28.30468189716339,22.300906896591187,37.60288143157959,17.035775184631348,59.78831481933594,465.55138590486877,415.64759689785336,386.54739498812893,435.5024517874248,346.82593266953506,819.9737017443944,-0.6347450904899341,-0.19353652772846608,-0.31035745957087957,-0.03229772723230789,-3.644955805001583,0.16899265170848288,966.5575037617236,788.5953216552734,689.319411277771,1013.3331307945773,498.0266342163086,2217.836181640625,2213.635185415748,1956.3032706737524,1821.3988770484953,2451.122862339023,1685.676134490967,3883.196838378907
10,20,13701.6,13814.0,13408.5,14116.0,11730.0,14650.0,156.72001368600803,156.6360594065721,144.9694729219675,166.7142591737147,134.62229618655326,204.48840256302609,33.350277948379514,34.79250240325928,30.33025288581848,36.89061975479126,20.74376392364502,43.30173110961914,396.5363884430301,388.3864383204723,367.71840874422935,409.31178237155297,350.51770717170814,582.2287161224324,-0.10160213486787348,-0.04218085817871309,-0.15742089699407313,0.06585819324427783,-1.3419034231493225,0.15120724713920974,761.1298728108407,715.9691224098206,660.6849503517151,829.9007782936096,562.2804985046387,1233.11279296875,1863.8097457747178,1778.584776973725,1752.5200157642373,1855.9683071851757,1691.3927360534703,2962.6605712890632
15,20,20569.9,20641.0,19987.0,21152.0,19062.0,21812.0,160.6055589950952,153.88188617133113,145.72434181689465,161.44437244688447,140.51931392826984,264.0375349057964,36.12244029045105,35.54769706726074,35.049649238586426,38.38521194458008,28.51616859436035,43.4156494140625,404.37397785684806,385.09482993012136,367.3837841012374,402.15594410901747,359.10725899520946,701.7280122488075,-0.16697780529775144,-0.024513392333096906,-0.11742176639891067,0.06753005551327682,-2.4018829403300628,0.10909764586298565,749.9033906936645,672.5527572631836,584.8831052780151,748.5499954223633,544.8409729003906,1843.8330726623535,1914.4465175700207,1804.3997698307055,1767.9943658351904,1867.1186048746167,1711.8755306243909,3118.680859375
20,1,27498.0,27498.0,27498.0,27498.0,27498.0,27498.0,148.11731902695695,148.11731902695695,148.11731902695695,148.11731902695695,148.11731902695695,148.11731902695695,38.48801803588867,38.48801803588867,38.48801803588867,38.48801803588867,38.48801803588867,38.48801803588867,378.2903708344346,378.2903708344346,378.2903708344346,378.2903708344346,378.2903708344346,378.2903708344346,0.011373353446227807,0.011373353446227807,0.011373353446227807,0.011373353446227807,0.011373353446227807,0.011373353446227807,633.8036861419678,633.8036861419678,633.8036861419678,633.8036861419678,633.8036861419678,633.8036861419678,1803.4043586730968,1803.4043586730968,1803.4043586730968,1803.4043586730968,1803.4043586730968,1803.4043586730968
