condition,condition_label,strategy,strategy_label,metric,metric_label,n_runs,mean,std,median,q1,q3,min,max
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,p95_queue_imbalance,P95 queue imbalance,5,34.308959,14.764098,39.126575,26.809904,40.554490,13.199327,51.854497
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,throughput_events_per_second,Throughput (events/s),5,4.847193,0.444431,4.683615,4.673815,5.116123,4.307350,5.455062
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,recovery_time_seconds,Recovery time (s),5,21.888000,6.564461,22.375000,18.529000,27.600000,12.588000,28.348000
strong-short-burst,Strong short burst,shortest-queue,Shortest queue,median_routing_overhead_ms,Median routing overhead (ms),5,0.146639,0.006272,0.145214,0.143900,0.149690,0.138893,0.155499
strong-short-burst,Strong short burst,little-law,Little's Law,median_queueing_latency_ms,Median realised waiting time (ms),5,27.400000,52.333546,5.000000,3.000000,5.000000,3.000000,121.000000
strong-short-burst,Strong short burst,little-law,Little's Law,p95_queueing_latency_ms,P95 realised waiting time (ms),5,5170.680000,2161.707558,5348.700000,3584.900000,6785.450000,2467.500000,7666.850000
strong-short-burst,Strong short burst,little-law,Little's Law,p99_queueing_latency_ms,P99 realised waiting time (ms),5,6756.592000,2460.226675,7357.420000,5682.870000,7714.510000,3223.050000,9805.110000
strong-short-burst,Strong short burst,little-law,Little's Law,mean_backlog,Mean aggregate backlog,5,19.104615,15.515853,17.359375,9.523077,19.031250,4.765625,44.843750
strong-short-burst,Strong short burst,little-law,Little's Law,p95_backlog,P95 aggregate backlog,5,87.600000,32.996970,81.000000,79.000000,89.000000,49.000000,140.000000
strong-short-burst,Strong short burst,little-law,Little's Law,mean_queue_imbalance,Mean queue imbalance,5,5.296566,4.006232,5.174149,2.875903,6.267136,0.784398,11.381246
strong-short-burst,Strong short burst,little-law,Little's Law,p95_queue_imbalance,P95 queue imbalance,5,30.759004,19.686970,28.288199,19.096247,41.955002,6.944222,57.511352
strong-short-burst,Strong short burst,little-law,Little's Law,throughput_events_per_second,Throughput (events/s),5,4.833855,0.449483,4.650463,4.643603,5.112508,4.308570,5.454129
strong-short-burst,Strong short burst,little-law,Little's Law,recovery_time_seconds,Recovery time (s),5,17.662200,12.576861,18.435000,11.477000,24.360000,0.464000,33.575000
strong-short-burst,Strong short burst,little-law,Little's Law,median_routing_overhead_ms,Median routing overhead (ms),5,0.155117,0.005806,0.155356,0.154013,0.158093,0.146235,0.161888
strong-short-burst,Strong short burst,ml,ML,median_queueing_latency_ms,Median realised waiting time (ms),5,89.300000,70.063899,68.000000,41.000000,115.000000,24.000000,198.500000
strong-short-burst,Strong short burst,ml,ML,p95_queueing_latency_ms,P95 realised waiting time (ms),5,7935.310000,4064.067757,8285.550000,5740.200000,10332.400000,2404.350000,12914.050000
strong-short-burst,Strong short burst,ml,ML,p99_queueing_latency_ms,P99 realised waiting time (ms),5,11836.660000,5626.192374,14990.980000,8651.860000,15754.360000,3426.990000,16359.110000
strong-short-burst,Strong short burst,ml,ML,mean_backlog,Mean aggregate backlog,5,29.553365,16.634906,37.109375,19.296875,37.281250,6.156250,47.923077
