condition,condition_label,metric,metric_label,first_strategy,second_strategy,random_seed,first_value,second_value,difference_first_minus_second
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1004,5967.390000,2374.420000,3592.970000
moderate-long-burst,Moderate long burst,p99_queueing_latency_ms,P99 realised waiting time (ms),ml,little-law,1005,1833.860000,987.470000,846.390000
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1001,33.250000,17.703125,15.546875
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1002,3.718750,36.924242,-33.205492
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1003,9.453125,15.375000,-5.921875
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1004,24.609375,5.843750,18.765625
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,shortest-queue,1005,20.151515,5.078125,15.073390
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,little-law,1001,33.250000,22.453125,10.796875
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,little-law,1002,3.718750,1.187500,2.531250
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,little-law,1003,9.453125,1.815385,7.637740
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,little-law,1004,24.609375,3.531250,21.078125
moderate-long-burst,Moderate long burst,mean_backlog,Mean aggregate backlog,ml,little-law,1005,20.151515,1.453125,18.698390
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1001,91.000000,52.000000,39.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1002,24.000000,105.000000,-81.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1003,54.000000,68.000000,-14.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1004,105.000000,34.000000,71.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,shortest-queue,1005,42.000000,33.000000,9.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,little-law,1001,91.000000,76.350000,14.650000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,little-law,1002,24.000000,5.000000,19.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,little-law,1003,54.000000,9.000000,45.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,little-law,1004,105.000000,24.000000,81.000000
moderate-long-burst,Moderate long burst,p95_backlog,P95 aggregate backlog,ml,little-law,1005,42.000000,12.000000,30.000000
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1001,12.478073,6.574347,5.903726
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1002,1.648034,11.003720,-9.355686
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1003,4.347141,5.928631,-1.581490
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1004,8.080552,2.717942,5.362610
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,shortest-queue,1005,9.342020,1.509968,7.832052
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1001,12.478073,6.616038,5.862035
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1002,1.648034,0.434780,1.213254
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1003,4.347141,0.732691,3.614450
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1004,8.080552,1.333191,6.747361
moderate-long-burst,Moderate long burst,mean_queue_imbalance,Mean queue imbalance,ml,little-law,1005,9.342020,0.594252,8.747768
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1001,35.355339,24.513035,10.842304
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1002,11.313708,49.497475,-38.183767
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1003,25.455844,32.055507,-6.599663
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1004,32.873495,16.027754,16.845741
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,shortest-queue,1005,18.384776,11.313708,7.071068
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1001,35.355339,35.284628,0.070711
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1002,11.313708,1.857726,9.455982
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1003,25.455844,4.242641,21.213203
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1004,32.873495,11.313708,21.559787
moderate-long-burst,Moderate long burst,p95_queue_imbalance,P95 queue imbalance,ml,little-law,1005,18.384776,4.966555,13.418221
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1001,5.102467,5.061276,0.041191
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1002,4.405165,4.429663,-0.024498
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1003,4.365650,4.371381,-0.005731
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1004,4.744024,4.740398,0.003626
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,shortest-queue,1005,4.057111,4.065621,-0.008510
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1001,5.102467,5.060101,0.042366
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1002,4.405165,4.408620,-0.003455
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1003,4.365650,4.364256,0.001394
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1004,4.744024,4.745179,-0.001155
moderate-long-burst,Moderate long burst,throughput_events_per_second,Throughput (events/s),ml,little-law,1005,4.057111,4.057452,-0.000341
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1001,35.576000,40.422000,-4.846000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1002,0.500000,29.788000,-29.288000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1003,0.429000,35.562000,-35.133000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1004,27.509000,18.517000,8.992000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,shortest-queue,1005,29.415000,21.868000,7.547000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,little-law,1001,35.576000,22.512000,13.064000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,little-law,1002,0.500000,20.577000,-20.077000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,little-law,1003,0.429000,12.342000,-11.913000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,little-law,1004,27.509000,4.508000,23.001000
moderate-long-burst,Moderate long burst,recovery_time_seconds,Recovery time (s),ml,little-law,1005,29.415000,16.563000,12.852000
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1001,6.326377,0.143658,6.182718
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1002,7.150475,0.190513,6.959963
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1003,6.077614,0.153131,5.924482
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1004,6.179693,0.146737,6.032957
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,shortest-queue,1005,6.235491,0.162873,6.072618
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1001,6.326377,0.160184,6.166193
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1002,7.150475,0.155453,6.995022
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1003,6.077614,0.149552,5.928062
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1004,6.179693,0.149075,6.030618
moderate-long-burst,Moderate long burst,median_routing_overhead_ms,Median routing overhead (ms),ml,little-law,1005,6.235491,0.153843,6.081647
